Time: 53.237917152709, Node: node[100], myRouteTimeout: 2.33949671157, deletePeriod: 4.67899342314
Time: 53.242053662012, Node: node[198], myRouteTimeout: 1.023497986748, deletePeriod: 2.046995973496
Time: 53.255199840443, Node: node[52], myRouteTimeout: 4.625853489183, deletePeriod: 9.251706978367
Time: 53.257680517279, Node: node[52], myRouteTimeout: 2.845943835217, deletePeriod: 5.691887670434
Time: 53.261457127515, Node: node[147], myRouteTimeout: 2.490686019449, deletePeriod: 4.981372038899
Time: 53.264706684227, Node: node[159], myRouteTimeout: 2.342715662156, deletePeriod: 4.685431324312
Time: 53.268818846285, Node: node[159], myRouteTimeout: 2.548530465727, deletePeriod: 5.097060931454
Time: 53.269382550977, Node: node[159], myRouteTimeout: 2.546772894918, deletePeriod: 5.093545789836
Time: 53.269691429063, Node: node[159], myRouteTimeout: 2.545029324284, deletePeriod: 5.090058648569
Time: 53.270363528929, Node: node[151], myRouteTimeout: 2.737764643621, deletePeriod: 5.475529287241
Time: 53.274056542204, Node: node[52], myRouteTimeout: 2.831998654412, deletePeriod: 5.663997308824
Time: 53.524277747409, Node: node[10], myRouteTimeout: 2.820932999417, deletePeriod: 5.641865998833
Time: 53.528683118047, Node: node[142], myRouteTimeout: 2.280775446905, deletePeriod: 4.56155089381
Time: 53.528953222917, Node: node[142], myRouteTimeout: 2.386933541195, deletePeriod: 4.773867082391
Time: 53.530384284014, Node: node[142], myRouteTimeout: 2.385732264419, deletePeriod: 4.771464528839
Time: 53.531168019232, Node: node[142], myRouteTimeout: 2.384540288661, deletePeriod: 4.769080577323
Time: 53.531790237512, Node: node[84], myRouteTimeout: 2.715791559913, deletePeriod: 5.431583119827
Time: 53.532203383032, Node: node[84], myRouteTimeout: 2.606186393773, deletePeriod: 5.212372787547
Time: 53.532626184914, Node: node[84], myRouteTimeout: 2.603859040597, deletePeriod: 5.207718081195
Time: 53.533628592156, Node: node[117], myRouteTimeout: 2.662667450784, deletePeriod: 5.325334901569
Time: 53.534824972041, Node: node[84], myRouteTimeout: 2.599024116259, deletePeriod: 5.198048232517
Time: 53.535119919085, Node: node[117], myRouteTimeout: 2.65786998927, deletePeriod: 5.31573997854
Time: 53.535707813173, Node: node[117], myRouteTimeout: 2.655382609575, deletePeriod: 5.310765219151
Time: 53.536326370795, Node: node[117], myRouteTimeout: 2.652913911791, deletePeriod: 5.305827823582
Time: 53.546808436903, Node: node[164], myRouteTimeout: 2.537810753984, deletePeriod: 5.075621507968
Time: 53.547194575205, Node: node[164], myRouteTimeout: 2.535799166586, deletePeriod: 5.071598333171
Time: 53.551982781151, Node: node[139], myRouteTimeout: 2.549092993733, deletePeriod: 5.098185987467
Time: 53.556222616259, Node: node[175], myRouteTimeout: 2.843962569115, deletePeriod: 5.687925138231
Time: 53.557275136293, Node: node[129], myRouteTimeout: 2.631272490806, deletePeriod: 5.262544981611
Time: 53.558210907548, Node: node[67], myRouteTimeout: 2.93565656849, deletePeriod: 5.87131313698
Time: 53.603226774436, Node: node[110], myRouteTimeout: 2.241280779145, deletePeriod: 4.482561558289
Time: 53.620696404853, Node: node[110], myRouteTimeout: 2.437747424502, deletePeriod: 4.875494849004
Time: 53.664873433187, Node: node[32], myRouteTimeout: 2.858978257858, deletePeriod: 5.717956515716
Time: 53.668790893403, Node: rsu[0], myRouteTimeout: 0.99436661997, deletePeriod: 1.988733239939
Time: 53.896443460101, Node: node[69], myRouteTimeout: 2.538103896397, deletePeriod: 5.076207792794
Time: 53.900297966691, Node: node[147], myRouteTimeout: 2.437932571234, deletePeriod: 4.875865142467
Time: 53.904901802675, Node: node[151], myRouteTimeout: 2.476406161293, deletePeriod: 4.952812322586
