density	speed	localCbr
100	10	47.543199
100	10	24.778311
100	10	43.431274
100	10	39.285867
100	10	22.064117
100	10	33.356045
100	10	47.175983
100	10	29.035228
100	10	53.081389
100	10	46.138126
100	10	27.656159
100	10	38.462202
100	10	46.015007
100	10	20.424909
100	10	26.703108
100	10	44.467595
100	10	38.438941
100	10	39.587653
100	10	38.350382
100	10	30.939168
100	10	39.452822
100	10	37.658391
100	10	59.157654
100	10	20.008661
100	10	26.413951
100	10	37.059397
100	10	38.521528
100	10	43.378652
100	10	59.560115
100	10	49.700586
100	10	16.126087
100	10	44.696099
100	10	36.528082
100	10	50.28216
100	10	28.882281
100	10	36.032645
100	10	49.596954
100	10	49.358607
100	10	7.719082
100	10	11.64154
100	10	44.152717
100	10	42.753211
100	10	43.50016
100	10	37.175894
100	10	42.238271
100	10	34.14118
100	10	56.015936
100	10	16.709945
100	10	14.38619
100	10	12.728608
100	10	21.40456
100	10	42.24829
100	10	21.645884
100	10	38.364856
100	10	46.266968
100	10	43.277369
100	10	8.150509
100	10	27.658344
100	10	27.654022
100	10	33.026621
100	10	43.886431
100	10	44.648436
100	10	40.603559
100	10	24.621526
100	10	27.862923
100	10	10.673107
100	10	47.415116
100	10	24.39395
100	10	24.009854
100	10	49.954853
100	10	24.055651
100	10	34.429108
100	10	40.705233
100	10	27.501573
100	10	31.467956
100	10	37.915086
100	10	16.0903
100	10	28.774669
100	10	14.533432
100	10	22.926004
100	10	30.520685
100	10	34.763153
100	10	39.639659
100	10	15.491961
100	10	35.731555
100	10	33.976468
100	10	23.156929
100	10	27.872044
100	10	26.85307
100	10	33.6008
100	10	19.303865
100	10	31.25011
100	10	34.566434
100	10	26.090942
100	10	31.171382
100	10	25.464885
100	10	19.502985
100	10	19.52792
100	10	31.162857
100	10	40.282122
100	10	32.342629
100	10	14.948781
100	10	18.44855
100	10	28.834564
100	10	35.28019
100	10	36.542127
100	10	13.02641
100	10	47.261531
100	10	43.032166
100	10	33.554232
100	10	27.71789
100	10	30.163826
100	10	36.552211
100	10	27.953072
100	10	34.306566
100	10	29.684383
100	10	43.315823
100	10	22.648326
100	10	47.739523
100	10	40.106754
100	10	22.105392
100	10	28.49906
100	10	28.432844
100	10	39.80063
100	10	25.792848
100	10	42.551835
100	10	47.745025
100	10	32.665018
100	10	35.150313
100	10	27.687414
100	10	36.81862
100	10	31.643961
100	10	24.81682
100	10	33.249304
100	10	12.316947
100	10	28.949235
100	10	30.817439
100	10	54.131278
100	10	40.796128
100	10	45.466483
100	10	50.620856
100	10	65.548398
100	10	34.555719
100	10	20.326727
100	10	35.490972
100	10	41.097036
100	10	49.48572
100	10	34.904846
100	10	24.130783
100	10	26.594034
100	10	13.444583
100	10	26.623466
100	10	37.751726
